Accession	Description	Sum.PEP.Score	X..Unique.Peptides	Y1L_1	Y1H_1	Y1L_2	Y1H_2	Y1L_3	Y1H_3	Y3L_1	Y3H_1	Y3L_2	Y3H_2	Y3L_3	Y3H_3	Y6L_1	Y6H_1	Y6L_2	Y6H_2	Y6L_3	Y6H_3	Y9L_1	Y9H_1	Y9L_2	Y9H_2	Y9L_3	Y9H_3	Y24L_1	Y24H_1	Y24L_2	Y24H_2	Y24L_3	Y24H_3	S1L_1	S1H_1	S1L_2	S1H_2	S1L_3	S1H_3	S3L_1	S3H_1	S3L_2	S3H_2	S3L_3	S3H_3	S6L_1	S6H_1	S6L_2	S6H_2	S6L_3	S6H_3	S9L_1	S9H_1	S9L_2	S9H_2	S9L_3	S9H_3	S24L_1	S24H_1	S24L_2	S24H_2	S24L_3	S24H_3
Q14697	Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3	758.767	48	489953491	10297852.78	465761234.9	46478153.86	509982318.5	13257960.45	422578541.7	34171695.45	393672655.4	35161300.25	464596073.7	32409623.17	453084826.9	80346906.34	404541883.9	72436000.56	356801899.9	91017849.66	354941069.3	138327963.6	302550727.3	131291740	407089741.1	124747567.3	252538554.3	326782539.7	273410743.6	362417629.1	285224843.8	399753898.8	565617422.9	17815049.09	625270516.6	51260626.7	601555901.8	21801455.89	608856535.7	50749661.69	575604753.3	39967119.19	499700279.1	38277791.23	518879411.7	72423470.27	478366859.9	58569440.27	417468281.9	58726537.82	406109312.5	79564602.41	448766491.2	95179508.83	454452584.3	111906304.8	236193319.6	154174626	224677633.5	154961279.7	285203113.1	172667392.3
Q14699	Raftlin OS=Homo sapiens OX=9606 GN=RFTN1 PE=1 SV=4	24.869	6	2488893.484	NA	3716166.375	NA	4675044.531	NA	1951394.125	NA	2316545.125	NA	2587727.125	NA	1492371.313	NA	1832897.625	NA	2719495.906	NA	1738637.938	NA	2051310.672	NA	353540.625	NA	205563.7031	NA	271563.3438	NA	931489	NA	628071.5938	NA	2778448.656	280966.125	2119666	223937.2031	634954.875	221224.3125	NA	300903.9375	350175.9063	188880	323650.0313	236264.9688	NA	243480.8125	859494.0938	NA	NA	NA	1448390.281	205189.1094	838002.4375	NA	NA	542428.2656	857492.4063	965033.4688	NA	992749.875
Q14728	Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens OX=9606 GN=MFSD10 PE=1 SV=1	3.162	1	718058.75	NA	693078.1875	NA	978502.0625	NA	NA	NA	NA	NA	414876.1875	NA	NA	NA	NA	NA	354183.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	743399.5	NA	NA	NA	503667.0625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	725621.1875	NA	1290396.75	NA	2137766.5	NA
Q14738	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Homo sapiens OX=9606 GN=PPP2R5D PE=1 SV=1	74.75	9	3384556.906	312847.125	9752882.844	323954.125	9491304	NA	7141223.438	398682.6875	14519575.69	513937.7188	7458788.594	809848.8438	8955657.188	1912014.891	6002114.438	1257678.125	9574737.313	1544728.25	7702847.063	2338454.031	9401400.031	2321231.844	6926137	2600612.313	4864579.5	9348672.063	3762048.344	7267882.625	3845296.531	6665850	6977854.156	NA	9207364.625	NA	7959428.5	NA	11177683.38	NA	5433902.375	NA	6439987.875	NA	6761320.063	NA	6304788.75	NA	6848654.406	NA	7220859.75	NA	7977204.563	354064.2813	7277602.75	1026145.969	1136100.094	2197531	3294626.688	1818918.813	3352635	2796289.125
Q14739	Delta(14)-sterol reductase LBR OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=2	116.539	16	83402268.63	825272.4219	83118246.47	2934772.969	105719927.3	10209354.64	80459597.47	2972570.281	103093384.9	8580650.867	76911121.6	9146540.344	103035135.1	32951086.4	77581177.81	10308910.41	73016710.55	21671134.61	76378841.77	19209979.34	62237153.67	18879091.44	77750876.16	17124879.2	53353745.53	43817097.98	49696165.47	44132295.44	57750854.88	50305903.55	70819514.41	1138505.125	74710503.9	3081843.25	54034133.36	2032443.516	80266973.97	1652837.281	56074571.82	677201.75	71921762.45	2058188.922	61384459.65	3066240.781	57921946.64	2056580.297	63114627.11	4732998	44511531.23	5888633.734	44539880.91	11226229.03	35535547.97	4166558.484	27741199.11	11716929.94	28201001.31	11104457.11	19216312.03	10403455.31
Q14746	Conserved oligomeric Golgi complex subunit 2 OS=Homo sapiens OX=9606 GN=COG2 PE=1 SV=1	3.354	1	1232209.25	NA	1004517.813	NA	1123654.75	NA	929985.4375	NA	NA	NA	789847.6875	NA	1186494.125	NA	1319299.375	NA	569368.125	NA	NA	NA	417968.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	769104.875	NA	1599302.625	NA	1212578.375	NA	692519.375	NA	821879	NA	1021696	NA	668355.875	NA	693236.3125	NA	864250.8125	NA	805133.1875	NA	955853	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14764	Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4	309.946	33	57286263.16	3796166.625	70778650.38	4119688.438	74548477.25	3999487.125	70122382.69	6140394.922	56155557.28	5274497.797	52877238.84	3944247.359	64639128.19	8535795.063	48472936.09	8629863.25	47594488.47	7960006.125	45749510.84	16689327.69	41307794.34	12182441.47	48205845.63	17431770.59	20459689.16	51632187.56	27061042.09	44612188	22747691.34	51332923.5	47477825.69	3796624.078	62826954.55	2109030.563	48263077.66	5033429.969	56035825.28	7456965.563	52384723.53	3499189.094	50323710.06	6095742.531	42857596.03	12470464.19	45665985.44	15862635.23	40838971.75	24753573.31	37181051.03	24791265.16	41441891.53	25066708.41	40869126.81	28172060.75	21833136.84	60111375.09	22123027.19	70082849.25	27641664.58	73112780.47
Q14781	Chromobox protein homolog 2 OS=Homo sapiens OX=9606 GN=CBX2 PE=1 SV=2	3.966	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	258815.6406	NA	175407.1211	NA	124058.6094	NA	223338.8203	NA	323925.4688	NA	105267.5547	NA	157120.6719	NA	566230.25	NA	NA	NA	2736058.75	214419.125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14789	Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2	397.447	63	46943165.73	5607906.219	47189435	4821176.703	50740702.47	6274328.344	39569664.95	6139868.094	42054267.83	7215563.109	38409923.64	6307673.891	33633231.39	7765365.031	35743708.33	7192882.891	34792443.52	3936284.188	29490378.59	8927943.156	28972166.8	5141356.625	30103982.19	4689347.063	21137018.83	17589800.25	24199796.06	21650404.47	30390983.97	26565715.03	70003776.55	17564796.48	86934958.59	8049587.844	73038456.23	7757587.883	86092529.75	10772909.5	74898114.53	5613236.031	65737844.2	6662268.547	64383022.25	8971107.258	63817052.16	7611807.5	60184193.98	6816776.953	58312744.61	9153988.172	51781712.58	9089569.75	54688115.72	11145409.63	34777368.36	18445663.28	36490830.9	21455981.81	40271147.23	20531185.9
Q14790	Caspase-8 OS=Homo sapiens OX=9606 GN=CASP8 PE=1 SV=1	73.359	10	12195399.38	6970160.5	12538596.31	3949696.25	13351316.81	6137956	11175027.44	6173081	10373058.5	4726354.375	10639474.13	6103185.375	11581265.75	7843985.438	10485715.72	1939534.844	8770487.719	6581845.969	8234165	9517960.375	7199756.875	6196550.063	9199470	9057468.094	3939684.719	8290167.438	4149405.938	8267053.438	4378777.5	11383080.56	7211953.813	11376325.13	8624308.813	15045077.25	6280706.875	10273773.75	9445071.688	10922368.81	15161025.31	11184446.5	7459127.438	13957092.75	6889533.281	12666467.69	6970590.75	10468293.88	6986012.125	14433939	6570134.75	13266071.06	5493161.313	16818287	6139105.813	14729067.56	2890599.031	19170322.13	3446610.75	17879027.13	3663018	24047359.44
Q147X3	N-alpha-acetyltransferase 30 OS=Homo sapiens OX=9606 GN=NAA30 PE=1 SV=1	3.771	1	3848229.469	NA	1488481	NA	4873833.813	NA	2960612	NA	1592120.625	NA	1593330.625	NA	4665706.313	286417.6875	2097981.625	369591.875	3290687.625	587480.3125	3716758.75	1589733.125	1089204.625	949968.9375	1860005.625	NA	2035929.313	3677496	2017587.063	1285467.625	1161074.125	1256227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14807	Kinesin-like protein KIF22 OS=Homo sapiens OX=9606 GN=KIF22 PE=1 SV=5	38.903	9	1470964.906	640746.9375	1585667.188	1640361.938	994281.9375	3417725.375	1007784.938	1002471.563	1237802.531	1345951.844	467552.0313	1774713.375	NA	4818156.5	680480.875	8271620.594	789229.3125	5969483.25	765036.625	4322283.375	NA	2558826.813	1041769.375	3892705.938	NA	3442622.75	489676.3125	3226760.625	NA	3640165.25	3403224.25	780022.125	3716574.75	919761.75	3740815.625	2089414.313	3104006.344	2514455.406	2597966.656	1168168.25	1354565.656	589204	739516.8125	1359923.938	377256.5313	4357853.313	880720.9688	2450403.438	NA	3243702.063	481725.4063	5661405.75	NA	5908506.375	NA	1470332.188	NA	1031305.969	NA	2119632.219
Q14814	Myocyte-specific enhancer factor 2D OS=Homo sapiens OX=9606 GN=MEF2D PE=1 SV=1	29.102	3	409126.9688	NA	357658.25	NA	489780.9063	NA	NA	NA	NA	NA	304644.75	NA	NA	NA	NA	459897.5625	303896.5938	NA	NA	885219.125	NA	562158.375	NA	553629.875	NA	799237.1875	NA	937923.1875	NA	1012747.125	2429996.063	NA	1429191.438	NA	2606956.063	NA	3126229.563	NA	3454433.625	NA	NA	NA	2061312.125	NA	726948.875	446843.1875	2327531.563	500926.75	2610073.063	NA	2447229.688	699549.6875	3079529.875	396117.5938	1590891.75	1777739.875	1784082.688	2049057.094	2005911.813	1190779.875
Q14839	Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2	571.016	46	88865127.53	4266674.938	101311188.8	6057482.844	123768186.2	5184809.266	118453966.8	13276031.66	116836742.8	11734049.34	108489150.8	10803533.33	111096082.4	26211723.38	102390708.5	27893296.5	107803997.2	25869067.45	85120901.41	38583494.69	86225097.17	37781063.44	99285831.69	41448511.39	60957942.78	97040821.75	50682938.63	109161830.8	47404327.91	109843682.6	106754405.3	5170705.203	124162183.3	11181414.72	123046365.2	9032792.766	130192955.7	10261801.45	109196212.4	11000067.45	104808253	9373819.406	94283992.63	15448932.25	92140578.77	20395583.45	88880091.69	15562235.78	85047797.13	26605097.09	102936079.9	31488556.02	102767775.1	33296936.41	33982260.78	45471622.25	34650139.17	45745545	41549894.48	44488135.84
Q14847	LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2	329.083	24	330240030.7	8661763.609	350712553.8	9590238.797	412632701.6	14562160.55	353028639.2	30116449.61	326562086.3	32137867.36	331773965.8	28839159.09	355699632.6	77442421.28	336746302.3	68744241.28	332206721.7	70099398.88	322759914.2	116070538.3	268275996.2	92504792.78	354925692.4	114917921.9	195312132	258649420.1	229751161.5	285233127.7	229095000.5	298568415.5	338549172.6	13257558.92	387181197.5	14069809.36	370462486.8	15894597.58	437114439.4	30809295.25	375196346.6	29594230.69	377758518.8	27471700.41	310513117.5	54485457.56	343671959.5	55644939.22	318168656.1	58270482.19	287938943.8	85778693.63	273904231.3	74027293.06	292534404.6	80048873.09	155774595.4	139850185	160393473.3	151034500	179453455	164652050.8
Q14849	StAR-related lipid transfer protein 3 OS=Homo sapiens OX=9606 GN=STARD3 PE=1 SV=2	1.692	1	5386926.469	1027948.625	5771242.406	839772.75	7137256	831590.75	5899212.219	1901919	4007891.5	1628563.75	4584459.156	1574961.719	5806446.969	2393907	4718487.5	2247447.188	4240904.5	2086802.75	4634770.5	2528310.375	4417574	2900125.438	4887043.5	3395548.125	4165811.75	3757686.938	4912287.188	3563773.75	5217050.813	4927436.438	14282064.5	NA	14957064.5	252821.4375	12006906.5	NA	16005333.5	1533448.125	14774038.5	1854941.5	15486643	2061746.625	15296895.5	3367251.25	14261126	4589774.5	17542111.5	4350883	23809503	5887843.375	20615713	7035489.125	16874299.5	6234895.5	27759913	11439018.63	23197698.5	16951089	18509360.5	18151628.56
Q14914	Prostaglandin reductase 1 OS=Homo sapiens OX=9606 GN=PTGR1 PE=1 SV=2	283.2	18	119862817.8	2051742	123044026.4	2863892.516	145911100	3630178.25	105019700.5	7019816.781	99659751.34	4592063.109	86306816.19	6696277.469	115535805.8	18686740.64	82346753.63	14531827.71	94099301.03	15315562.45	102976888.1	26214267.31	83013504.28	17794548.69	92993603.39	26720212.42	66395075.63	74410179.22	67374640.09	77639658.38	77488530.63	88327112.78	129996358.9	2581318.75	165544429.8	2258258.156	131963627.1	3745185.75	146038648.3	9240436.844	135603048.9	6123635.328	124232012.2	5070568.906	116704576.1	16148056.92	122335571.9	14985871.72	119093185.3	14563137.22	129498407.3	26847875.25	124947971.6	24609692.52	116804636.1	22486034.28	69196972.61	51556839.44	70932442.28	49701543.31	89666596.75	64228919.63
Q14919	Dr1-associated corepressor OS=Homo sapiens OX=9606 GN=DRAP1 PE=1 SV=3	43.133	4	9586113.75	NA	11304477.94	NA	16278546.63	2509941.313	8694288.313	NA	12218299.44	NA	8121524.938	1749682.5	8889072.125	2280753.219	11262303.88	1235553.5	8116989	814921.125	13207401.44	2383385	7635278.219	2913346.5	9692488.375	2576432.125	6298225.75	6944198.563	5956146.188	6950229.938	7199198.688	9036138.625	7144322.156	776648	9211559.125	NA	7180441.625	855934.3125	6014198	NA	5368763.25	NA	5343663	612283.6875	4905812.875	781466.0625	5559257.281	627304	4573108.188	1478752.188	5964058.875	1418484.25	6187488.844	3605503.5	6406702.406	2181605.438	2900712.031	1948015.75	2689232.844	2769516.75	6773745.063	4077320.188
Q14966	Zinc finger protein 638 OS=Homo sapiens OX=9606 GN=ZNF638 PE=1 SV=2	167.775	27	36502498.42	9448931.281	39051206.44	9481110.625	49008427.83	14697554.12	41768200	9091597.563	39962390.41	10027320.16	38844276.11	9066923.438	43307770.91	11672467.94	35730512.88	11111429.47	35195550.67	11337962.25	33278655.2	14714533.31	29152314.06	12123642.89	37335110.47	13354839.86	22608226.33	22577851.47	23329016.22	20943896.16	23680597.44	25942846.81	35064632.31	451999.3438	37252696.19	649970	34838161.69	781866.0938	42168151.97	2297790.281	37615297.81	1191149.172	29463904.03	1200729.313	25632667.56	1899106.313	32045752.2	2308360.656	30382317.81	2844861.984	27195105.77	3937776.406	23822577	5683140	27411470.73	4847618.141	15229550.05	7581615.75	12289050.38	8380346.859	16254699.2	10956482.91
Q14974	Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	525.079	33	572946621.4	165585165.2	611027761.6	186336994	753918235.1	250946091	617129239.7	158897992.3	602571621.2	179840267.9	542262024.1	179697962.6	692345850.2	233074808.5	572739081.1	226376159.9	573560549.7	198808947.9	540077731.6	320436816.1	489691219	293131518.2	562405708.7	296344654.5	317297054	438846180.3	341645043.9	470363692.2	399800159.4	519088065.5	474357396.6	12372765.81	619743362.3	12228588.58	523754110.2	10478350.69	645427840.1	71946750.77	570000246.2	26117778.84	550182130.8	23585402.25	499062026.8	47437187.13	540538461.3	50156615	458469000.3	52208936.5	467884487.5	77476392.06	468555492.1	64863168.37	497483129.5	126444687.4	263249214.4	115379221.2	268849502.6	129232066	334062919.7	146149889.6
Q14978	Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2	166.891	22	191027859.7	8163533.461	225690395.1	7394791.625	254608459.1	8902354.719	192667800.4	19297154.82	183436481.4	19106409.37	168514615.2	18114386.66	226495715.2	50625188.44	196592936.9	44651490.89	191490489.2	46191225.31	187345120.4	69738134.16	170717611.8	55952641.03	195695071.9	68383623.2	151235836.2	121271028.1	163455874.5	135125263.7	191921512.8	138570906	171308496.9	4752668.094	206084105.5	4450690.219	171764127.5	13552489.25	182634399.3	15389762.16	162374357.6	12418627.81	178239498.8	14921626	143337734.1	26148453.5	137352745.3	29692680.92	149562654.1	28618244.45	122455615.9	41539696.58	113721982.9	41645235.81	120632234.9	39014213.54	56457582.54	53455993	56591587.31	63058159.03	59742531.84	56163073.91
Q14980	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	858.276	112	196103412.1	29734321.15	204972916.9	30893056.08	270572416	40939340.15	223444814.3	41381993.34	231730360.3	38129625.76	213391963.2	37561613.53	254557922.8	64882981.63	186948637.4	54927452.59	207959981.8	67344949.73	176189000.8	86517416.44	161712110.9	71541232.23	193116057.6	74211655.43	146338284.6	174641661.1	135748068.5	194827094.7	140785821.3	210075742.6	190820147.9	11155986.28	266400496.1	32549220.67	216461205.9	11482951.55	241293589	15495630.39	202393467.6	16602035.3	203183843.4	16339281.92	184486168.6	26602332.61	192673625	26781948.22	170027834.8	27390831.79	161344991.4	39216769.31	166018292.5	31937313.44	161806825.8	36156412.6	70869268.85	62750503.59	87386998.52	71084826.3	84238182.64	64252606.12
Q14997	Proteasome activator complex subunit 4 OS=Homo sapiens OX=9606 GN=PSME4 PE=1 SV=2	69.93	15	16689895.66	2995858.938	19376816.31	2224208.844	22391953.81	3369270.5	15070616.44	NA	14180379.56	4161278.625	16778083.59	396731.6563	14850602.81	2361863.156	15308102.63	1761896.375	15810616.47	2696119	15077202.56	5886712	12151452.69	2701891.531	14531259.66	4966024.813	8388257.938	6433713.313	4827934.875	4881047.938	6957436.25	9154396.625	11005303.38	NA	11845876	3457374.5	12422444.41	1591140.5	10074322.5	NA	9447447.813	2553332.75	10076747.75	2088158.75	9213323.906	3166273.844	9695373.125	NA	6151896.031	5264234.969	9523638.719	876072.4063	7940329.531	587659.375	7261738.5	2846958.906	2750460	943778.125	1991441.406	959756.75	3434669.063	1227929.563
Q14BN4	Sarcolemmal membrane-associated protein OS=Homo sapiens OX=9606 GN=SLMAP PE=1 SV=1	1.475	1	1109398.656	NA	879142.0625	NA	1719767.219	NA	1309056.828	NA	584523.75	NA	875566.4063	NA	371787.9063	NA	713275.6563	NA	639590.875	NA	976143.875	NA	NA	NA	566295.5625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q14C86	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2	302.403	36	77651537.94	3107360.25	75324739.66	2722981.625	95529548.06	6454077.344	83658577.28	7734600.797	78683045.09	5279876.938	73972210.64	3254200.141	83701898.56	11111546.84	73318964.19	14029652.75	69191160.94	13375453.78	70378984.16	17365284.06	58616046.84	18804243.39	73507246.47	18782736.72	35549681.63	42989804.81	38993483.03	46316116.75	31696699.56	49474401.75	82514158.52	3466113.75	113279341.8	2633941.656	92507699.19	3927283.375	119889636.5	2797547.313	100409835.3	4605055.609	96327530.31	3949384.406	92677800.27	10302732.63	91330490.53	10216670.28	77690986.88	8148002.813	75676080.06	19152058.56	85640087.75	16123039.5	79938666.75	20861052.75	43946089.19	31294303.38	44142103.59	32083124.22	49410640.03	31224617.25
Q14CN4	Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2	69.228	2	NA	NA	NA	NA	NA	NA	970497.75	NA	1198311.375	NA	1102835.25	NA	NA	568702.5	1213775.25	386800.625	NA	NA	934615.4375	NA	NA	1102047.469	1027866.813	778951.5	NA	1686919.125	NA	NA	NA	NA	1364266.5	NA	1736039.188	NA	1580612.875	NA	2682014.063	NA	1544666.625	NA	1573783.031	NA	2127169.688	653294.4375	1494119.531	618776.375	1053875.25	459196.25	1332688.688	938130.875	1759886.344	605101.6875	1082264.594	761211.9375	474714.6563	2445166	NA	2792161.75	NA	2089220.375
Q14CX7	N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA25 PE=1 SV=1	63.419	11	19034327.38	NA	23972913.81	NA	27949607.13	303076.7813	20438969.13	275517.3438	20585374.38	NA	22426558.94	NA	22081326.19	1245802.438	17758436.69	1096306.813	19623852.69	1550366.5	17333204.19	2247815.969	14018358.63	2591103.953	20325643.13	4049615.969	11342191.66	6592932.125	13322804.63	4739773.75	12223447.69	8258197.438	10718567.56	1783104.125	12157309.94	631707.625	11314824.25	692264.875	13462514	NA	11245541.25	869933.625	13384094.34	NA	10633260.44	595694.625	11253940.44	NA	10228919.13	632982.9688	11276047.06	1130789.75	8633452.75	2765504.719	12013974.75	2577217.625	5606698.156	2746946.5	4923428.313	1850712.25	5512649.906	2780639.5
Q14CZ7	FAST kinase domain-containing protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD3 PE=1 SV=2	6.142	3	NA	NA	842395.4375	360607.8125	1249778.25	627303.75	909089.5625	NA	NA	NA	973422.4375	NA	933446.375	NA	828671.625	NA	844509.6875	523140.7188	NA	NA	556331.5625	NA	611621.875	NA	NA	1029429.313	NA	1252281.25	NA	1583332.875	813823.5625	NA	NA	NA	906929.75	NA	1597986.5	NA	853308.625	NA	610866.75	NA	810434.375	NA	831033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15003	Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3	230.374	29	85812086.3	2077016.938	96687138.62	2942948.281	111366567.2	2887540.906	87808771.27	4022949.677	92474618.6	6589107.969	90622328.77	4702043.096	106591837.3	11699867.19	97517367.53	10423851.53	90689667.97	14448754.23	77862892.3	16365430.51	68427962.17	17263588	84958961.55	19833106.43	41058568.38	38574015.24	44254876.59	48090410.37	52491536.12	49303682.83	100180873.9	4953596.156	109803663	4332733.281	113293538	6427347.266	109995607.5	6557320.25	111212777	8355223.752	113617637.4	6677260.094	96892907.89	7547773.344	102287027.7	9690218.813	96212127.55	9596775.911	92799622.55	16482573.06	94122527.08	17133792.79	98931280.97	16281926.16	56807278.45	23113231.55	57445035.19	18975281.16	64376911.55	21771864.25
Q15004	PCNA-associated factor OS=Homo sapiens OX=9606 GN=PCLAF PE=1 SV=1	60.663	5	3751970.938	509668.1094	5601878.063	791447.25	6869329.5	1131605.813	2433112.5	2998978.875	2466073.5	2265938.406	1571121	2328405	NA	5078453.688	NA	3915876.813	344512.0938	4165014.625	NA	5701889.094	NA	4742583.031	NA	6889640.25	NA	5288984.297	NA	5637554.813	NA	5894458.375	12958129.75	1158097.813	15683366.81	2393015.594	14243219.19	2141424.781	9475405.188	4168482.813	8794323.375	4258447.344	8326590.375	3958822.563	3542183.938	4916173.688	3111357.813	4419753.375	2883373.906	4663800.031	647740.6094	5691855.563	1760240.531	6169169.969	940457.7188	6061181.75	NA	4323846.125	NA	4266830.828	726188.5	4942747.875
Q15005	Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3	108.712	15	80674887.25	5409433.445	86315037.56	2169900.766	51805878.44	4146875.609	77900564.06	6060998.57	76589124	5992650.766	74668931.44	8586687.453	76385667.75	13373493.47	64578447.88	13014304.3	30686242.47	10609248.52	64073054.94	15060745.86	58565738.72	14384242.69	66125183.41	17518531.03	38497209.92	32165615.22	38511446.78	38629318.19	45823979.14	37519688.13	87424678.17	1270042.563	95793756	1074260.125	85667577.44	1606604.625	95898072	3738126.602	37135189.91	3503953.391	83601295	3152021.438	72403609.72	8765528.703	70553335.81	5323150.953	71120031.31	5739891.656	29927876.88	11364025.03	62755395.34	18258246.97	63986355.95	10937715.47	35240201.91	21237806.34	34604121.58	19285371	38617093.17	23700704.44
Q15006	ER membrane protein complex subunit 2 OS=Homo sapiens OX=9606 GN=EMC2 PE=1 SV=1	57.886	12	8296516.375	1812294.766	9849155.25	2349192.672	11060520.56	2248132.125	5847611	NA	5386679.813	333883.9375	9595129.625	3572247.031	5910538.031	752281.25	5500972.563	1025014.656	6253708.438	3034010.125	5423549.625	4757491.188	4061646.031	3719971.313	6307264.75	6076626.125	4411887.375	6883403.063	4112956.875	7269208.375	2536062.063	9717787.188	13010115	1871203	14133928.78	3110322.5	15154351.88	NA	12419203.81	3118648.953	12395315.13	1397399.5	9444408.875	1558266.031	8980131.5	617769.1406	11302130.53	262542.25	9413333.375	1272639.828	8553060.5	349472.75	9268648.844	1993028.5	7637128.094	409636.625	6602912.563	2494619.094	4274221.188	2441856.875	7993327.75	4404018.703
Q15007	Pre-mRNA-splicing regulator WTAP OS=Homo sapiens OX=9606 GN=WTAP PE=1 SV=2	91.83	12	16930911.31	177824.9063	15645829.09	143187.375	18886003.38	210755.3594	14473134.38	576103.9844	14259087.53	NA	11592517.84	600143.9375	15288371.75	707065.0625	11770323.44	874214.5938	11257304.38	874110.0938	12113150.69	2228487.5	8292347.031	1235825.719	11073570.38	1950612.469	3030950.75	5922401.688	3215574.031	6709988.5	4388028.813	7456393.5	16338143.64	203830.3594	20544101.97	287508.9688	15660412.38	270952.875	17922274.34	NA	17265130	234266.4219	17350352	198328.6406	14424255.47	NA	14597682	798871.1406	13689956.33	175543.2344	12107350.42	971537.3125	11039258.41	764251.25	9908295.625	422275.3125	3928051.469	1982780.875	3257439.656	1883624.156	2665249.406	1747259.656
Q15008	26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1	142.55	17	63797057.88	27600041.13	68570431.03	37685436.44	70261000.06	41638930.69	59215763.19	28713064.44	57638315.44	29917268.56	57818671.78	26955943.56	69365589.78	35356857.53	52116385.66	25383529.16	52464071.16	29011815.81	56885721.03	45245941.56	48631279.78	33221238.28	60868865.22	47342789.56	37781542.94	50981800.63	36472490.56	56730775.25	45203530.59	64602650.38	63655883.28	2184024.094	73046681.69	4883683.25	70531218.08	5692395.344	78922785.22	4565862.813	69271044.72	1580072.719	64976134.56	2158417.563	61239112.13	3610160.375	63167895.06	3219908.75	68150269.53	4769043.75	63371537.22	7132783.125	69000020.31	7917783.25	68426670.03	6694692.469	36571468.63	13989196.88	38443553.31	16035868.22	51925414.91	14105630.09
Q15011	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein OS=Homo sapiens OX=9606 GN=HERPUD1 PE=1 SV=1	4.288	1	493352.7188	2076429.375	533329.4375	2622075.25	805501	3635348.5	339483.1875	2428645.75	262097.7344	2785676.625	367827.1563	1704407.375	NA	3946010	NA	2759709	NA	2750841	NA	2806397.344	NA	2292389.656	NA	2678666.563	NA	2088938.125	NA	2228187.438	338885.1563	2570978.313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	415177.0938	NA	556784.1875	NA	NA	NA	597992.25	NA	694745.25	NA	370762.5625	NA	610807.8125	NA	NA	NA	500589.8438
